compound,smiles,SMR_VSA9,MATS1are,GATS2are,GATS1are,BCUTse-1h,RASA,PEOE_VSA10,nF,MATS2p,GATS2p,VSA_EState9,nHetero,TopoPSA(NO),TopoPSA,AATS1are,AMID_C,IC1,NdO,nO,SlogP_VSA2,C1SP2,NsCH3,ETA_shape_p,VSA_EState8,C3SP3,MATS2are,SMR_VSA5,SlogP_VSA5,FNSA1,DPSA1,AMW,AATS1p,MATS1p,BCUTp-1h,NssCH2,SssCH2,C2SP3,VSA_EState7,Mor02,Mor03,Mor03p,RotRatio,SssNH,SsssN,nHBDon,PEOE_VSA8,RNCG,DPSA3,RPCG,Kier2,nRot,Kier1,TASA,bpol,TpiPC10,GRAV,WNSA1,Mor06,SLogP,FilterItLogS,FCSP3,n6Ring,MDEC-22,nAromAtom,C2SP2,nRing,MDEC-23,BalabanJ,SaasC,NaasC,PEOE_VSA6,AATS3p,Mor06p,nCl,EState_VSA7,retention_time_min
Benzylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,0.0,0.0814585941008429,1.018841964692914,0.7441193405028932,3.7019328939093374,0.9487183601142184,0.0,0,-0.0691053929286467,1.0734389856562694,0.0,3,23.550000000000004,23.550000000000004,6.0875,1.784522023804844,2.955084951819779,1,1,29.938443101175096,1,1,0.0716332378223495,5.030958128621819,0,0.0520488864655906,38.77279930352918,31.749653560165648,0.2993594264705552,239.6293916482537,6.444090269040014,1.8135113857692309,-0.0529939772662796,1.9859521777689213,6,5.708788137551214,4,2.6250591598490223,34.27848095009324,-6.528879255067197,-3.0115132385734174,0.1923076923076923,0.0,4.519132653061225,0,37.78431794449526,0.1966999798692862,36.44086522086141,0.1440219371980099,9.629757785467127,5,18.7810650887574,566.5374641842719,30.371382,7.456851645591693,4098.287354911921,106.7518957152816,-3.321576590280208,4.094200000000003,-4.353895991605922,0.3809523809523809,3,25.797445525487305,12,11,3,16.74946783800342,1.4997603247703335,2.394777269187443,2,55.4546737473835,1.297629746313078,-0.3213063979880007,0,42.15548227284915,12.4
Fentanyl propyl analog,CCC(=O)N(c1ccccc1)C1CCN(CCCc2ccccc2)CC1,0.0,0.0850978220872613,1.020349817397788,0.7632520274077722,3.701937518199893,0.9596660474931964,0.0,0,-0.087181512462673,1.1135165407212004,0.0,3,23.550000000000004,23.550000000000004,6.052586206896553,1.801316121255471,2.8718745863465074,1,1,36.48319950708767,1,1,0.0659630606860158,5.269076880560917,0,0.0548395522565267,45.06968614346864,38.17047518309165,0.2901265851106642,273.7854927302344,6.2542109567857285,1.7988718844827591,-0.0475608157134554,1.9868299270963825,8,8.341835622734237,6,5.028101605979388,40.18054245698768,-10.393319488796363,-4.294282934623205,0.25,0.0,4.597563591794742,0,31.239561538582684,0.1865463441819609,36.91503431092432,0.1365875358947604,11.11111111111111,7,20.72704081632653,625.9550353434304,34.38421,7.344597922782556,4351.728040968701,123.43364134531043,-4.665947581460234,4.526800000000004,-5.145884009027776,0.4347826086956521,3,30.08405136946969,12,11,3,16.6368218546762,1.400599687831185,2.465795187023924,2,55.4546737473835,1.2625439810059311,-0.3935281348146406,0,30.02274813592593,19.1
α-Methylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1,0.0,0.0850978220872613,0.9813937742245596,0.7632520274077722,3.701937716376347,0.9505605080515732,0.0,0,-0.0696100153449624,1.0962588203377348,0.0,3,23.550000000000004,23.550000000000004,6.052586206896552,1.7945596710127498,2.898834854280917,1,1,35.980283930323054,1,2,0.1055408970976253,6.38176002795772,0,0.0945038871238136,51.61444254938121,38.67339075985628,0.3010799321004951,254.0429764617081,6.2542109567857285,1.7988718844827591,-0.0475608157134554,1.987012380843569,6,5.832175353895405,6,3.723058762814528,40.3146559166473,-8.156155634539525,-3.594885764953004,0.2142857142857142,0.0,4.613390495086923,0,37.28140236773064,0.1873997382799883,37.47569142475221,0.1372123847608223,10.51862673484295,6,20.72704081632653,606.9855679276491,34.38421,7.445965011960894,4413.658767617315,122.76625430856338,-3.6369630990072,4.525200000000004,-4.772084009027776,0.4347826086956521,3,24.04664983638578,12,11,3,19.6936357761702,1.496428556830924,2.434565133789972,2,55.4546737473835,1.2914295259747877,-0.4331246724261822,0,30.02274813592593,16.1
Thiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1,0.0,0.0806724823242193,1.0093529208847531,0.747376323898202,3.701933673206667,0.9457572126623474,0.0,0,-0.0166261044369073,1.0059263714244524,0.0,4,23.550000000000004,51.790000000000006,6.081730769230769,1.6965064109815422,3.094555750124158,1,1,36.48319950708767,2,1,0.0696378830083565,5.237564045552411,0,0.0579037481776481,38.64886452054263,31.06334926216996,0.3365823461191117,200.33911646929468,6.843531689040015,1.8925152319230767,0.0008621573894957,2.936382702211183,7,7.106441899800935,5,3.821685900178865,39.41789978296612,-7.571955929744908,-3.7071568344653727,0.2307692307692307,0.0,4.575818478626019,0,42.66146513819656,0.2056817117096782,39.884915704327646,0.1505982778997997,9.629757785467127,6,18.7810650887574,579.7175515606774,32.831382,7.279879023307665,4271.730411183073,126.46341573797768,-2.9599657791312297,4.198200000000004,-4.318567891358045,0.45,2,22.461457081022843,11,9,3,15.551083679842629,1.464290924925469,2.505168402875384,2,31.18920547353706,1.3056769021084411,-0.3079978245860104,0,41.35953401386067,12.4
α-Methylthiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1,0.0,0.0826087519156353,0.970792826174994,0.757050422881622,3.7019361902366312,0.951486504524463,0.0,0,-0.0112145961133885,1.0098542501177543,0.0,4,23.550000000000004,51.790000000000006,6.063636363636364,1.7018282948465275,3.084712032824511,1,1,35.980283930323054,2,2,0.106951871657754,6.4144683612910525,0,0.0995816114733537,51.61444254938121,37.98708646186057,0.3395121254198052,198.70790790574168,6.720608198415109,1.8804869214545457,0.0013435753168407,2.9363844908674754,6,5.91906252212394,6,3.785061671783804,32.21045494282978,-7.348331330662931,-3.365731246821264,0.2222222222222222,0.0,4.622114774922315,0,42.15854956143194,0.1998510611139097,38.787560988973766,0.1463291301477478,9.796296296296296,6,19.753086419753085,589.0410512606268,34.837796000000004,7.334778009429098,4549.551066394999,130.1191294045545,-3.724258716418289,4.586700000000005,-4.340008517309782,0.4761904761904761,2,19.05563553422453,11,9,3,18.01805846339141,1.50917317090744,2.501046615271453,2,31.18920547353706,1.3166160661222133,-0.2985036881212178,0,41.35953401386067,14.3
2-Fluorofentanyl/ortho-Fluorofentanyl,CCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,0.0,0.030851849551891,0.763168552777318,0.5975313237851695,4.009946603805725,0.9178991392428508,5.817220841045895,1,-0.0808526771169534,1.0948597558610182,0.0,4,23.550000000000004,23.550000000000004,6.155454545454545,1.7274348491361922,3.069954651655903,1,1,36.48319950708767,1,1,0.0901073619631901,4.752200918820237,0,0.0293273856219825,38.64886452054263,31.749653560165648,0.3240675644532787,222.05678964974928,6.68322154158492,1.802458661272728,-0.0497020318436783,1.9872556845436435,7,6.110871551510253,5,3.197131550880371,42.65372735723815,-8.850780273818382,-3.721349450554088,0.2142857142857142,0.0,4.142183956916099,0,32.096931669811696,0.1773330074828511,40.44309559735278,0.131092524515287,10.51862673484295,6,20.72704081632653,579.2727630045424,32.48758899999999,7.481819751552383,4620.612698182851,129.06600203381802,-3.885108239015908,4.275800000000004,-5.169117624037693,0.4090909090909091,3,24.741277186980625,12,11,3,18.57326498439736,1.4844818260002357,1.4506112427725537,3,49.38830667892189,1.2755416222162117,-0.3984625697525161,0,12.990104268152232,15.9
3ʹ-Fluorofentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccc(F)c2)CC1,0.0,0.030851849551891,0.763168552777318,0.5975313237851696,4.009941474088191,0.8744602002245879,5.817220841045895,1,-0.0808526771169534,1.0948597558610182,0.0,4,23.550000000000004,23.550000000000004,6.155454545454547,1.7279750547787036,3.069954651655903,1,1,36.48319950708767,1,1,0.0901073619631901,4.8018351849746495,0,0.0293273856219825,38.64886452054263,31.749653560165648,0.3402703011433006,203.9819507224068,6.68322154158492,1.802458661272728,-0.0497020318436784,1.987612319472532,7,6.213116845164277,5,3.334292440402372,41.93997402267156,-7.976980220117688,-3.4450205461397614,0.2142857142857142,0.0,4.407651034931879,0,37.78431794449526,0.1847829019846619,45.16105741517042,0.1352963595688619,10.51862673484295,6,20.72704081632653,558.3623419679304,32.48758899999999,7.451314272364763,4491.135097419009,138.731853878653,-3.212741159056145,4.275800000000004,-5.169117624037693,0.4090909090909091,3,24.887385450277005,12,11,3,19.109439682814365,1.4439668922650168,1.8699501830543364,3,37.255572541998674,1.2758887981005256,-0.392862643386168,0,48.22184934131076,15.2
4-Methoxyfentanyl,CCC(=O)N(c1ccc(OC)cc1)C1CCN(CCc2ccccc2)CC1,5.749511833283905,0.0729245181797262,1.1240970294623105,0.7646840991369994,3.702054222404041,0.9217899788506764,5.749511833283905,0,-0.0053906899549358,1.0267745776426018,1.6618429021290742,4,32.78,32.78,6.140677966101695,1.733898157382946,3.060044340366864,1,2,43.5929970483652,1,2,0.1028277634961439,5.108272774253565,0,-0.0087917810849668,38.64886452054263,31.749653560165648,0.2742453240441656,303.2786463222242,6.425100494736856,1.7665143949152546,-0.0838124436121233,1.9873729334283885,7,6.823662309038287,5,3.6537299881224703,49.59294143321622,-8.586468433070227,-3.3725078960107155,0.2413793103448276,0.0,4.527876091794743,0,37.78431794449526,0.2548142698624198,48.9668573484543,0.1161614795926071,11.253462603878116,7,21.70273483947681,619.1659503741939,36.12021000000001,7.550924089735841,4649.651149619964,123.73409813374198,-2.916253853221185,4.145300000000003,-5.008944572586756,0.4347826086956521,3,25.18185558631125,12,11,3,18.62041882796865,1.4552006331574865,3.184636931740072,3,37.255572541998674,1.301832583378676,-0.1506457248066285,0,36.08911520438754,16.9
para-Fluorofentanyl,CCC(=O)N(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,0.0,0.030851849551891,0.763168552777318,0.5975313237851695,4.009941301522446,0.8742218699174203,5.817220841045895,1,-0.0808526771169534,1.0948597558610182,0.0,4,23.550000000000004,23.550000000000004,6.155454545454545,1.7279607642873256,3.069954651655903,1,1,36.48319950708767,1,1,0.0901073619631901,4.917888247164491,0,0.0293273856219825,38.64886452054263,31.749653560165648,0.3413006987071105,202.96496924534057,6.68322154158492,1.802458661272728,-0.0497020318436783,1.9872156201173363,7,6.468122935904945,5,3.4330195865226454,42.0060113834158,-7.903916474536813,-3.408145701800698,0.2142857142857142,0.0,4.357876091794743,0,37.78431794449526,0.184760003461907,45.14303996557389,0.1352811352021873,10.51862673484295,6,20.72704081632653,559.033384192169,32.48758899999999,7.479969938208347,4505.267516526436,139.56268986577882,-3.0494862115418533,4.275800000000004,-5.169117624037693,0.4090909090909091,3,25.18185558631125,12,11,3,18.62041882796865,1.4555539042225747,1.9010066893735664,3,37.255572541998674,1.2758887981005254,-0.3353321954498934,0,17.89001399900271,14.8
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,O=C(CCc1ccccc1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0816856047909807,1.0392392214477502,0.750883207086646,3.7019511912838654,0.955376105714929,0.0,0,-0.107651869450902,1.1047655293892276,0.0,3,23.550000000000004,23.550000000000004,6.05378787878788,1.859903293592457,2.799448793756451,1,1,36.48319950708767,1,0,0.0220264317180616,3.184148879608108,0,0.0255234718956284,38.14594894377801,30.38936785217202,0.3378228343850493,241.6053949219587,6.543674026095252,1.8681069381818192,-0.0223828255019715,1.9946592187149423,8,7.667770854567079,6,4.483621974958971,55.53001177904603,-8.753877179594909,-3.79388462853193,0.2352941176470588,0.0,4.623605258461409,0,37.78431794449526,0.160986061106116,47.15386131944361,0.1181991406260453,13.03202479338843,8,24.13494809688581,711.6415570743557,36.39062400000001,7.800214277602946,5345.891223128708,187.44024939589795,-4.897178105360168,5.359500000000006,-6.469340401963187,0.3214285714285714,4,42.56733690262016,18,16,4,24.39971672815017,1.2552891976089124,3.647699527624083,3,78.86277189000094,1.325857142970536,-0.8699097268847626,0,36.39820241076966,25.2
