compound,smiles,nAromAtom,nAromBond,naRing,n6aRing,nRing,n6Ring,piPC1,piPC2,piPC3,piPC4,piPC5,piPC6,piPC7,piPC8,piPC9,piPC10,TpiPC10,SLogP,SMR,FilterItLogS,MW,AMW,Vabc,VMcGowan,TASA,RASA,LabuteASA,nRot,RotRatio,Kier1,Kier2,Kier3,FCSP3,C2SP3,C3SP3,GRAV,nBonds,nBondsM,nAtom,nHeavyAtom,nC,TopoPSA(NO),TopoPSA,apol,bpol,TPSA,RPSA,DPSA1,DPSA2,DPSA3,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,nO,nHetero,nHBAcc,nHBDon,SssNH,SsssN,PEOE_VSA6,PEOE_VSA8,PEOE_VSA10,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA2,SlogP_VSA5,SlogP_VSA6,SlogP_VSA11,EState_VSA7,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,NaaCH,NaasC,SaaCH,SaasC,NsCH3,SsCH3,NssCH2,SssCH2,NdO,SdO,C2SP2,C1SP2,ETA_beta,ETA_beta_ns,AETA_beta_ns,ETA_dBeta,AETA_dBeta,ETA_epsilon_1,ETA_eta_F,ETA_psi_1,ETA_shape_p,AATS1p,AATS2p,AATS3p,AATS1se,AATS2se,AATS3se,AATS1are,AATS2are,AATS3are,MATS1p,MATS1se,MATS1are,GATS1p,GATS1se,GATS1are,MATS2p,MATS2se,MATS2are,GATS2p,GATS2se,GATS2are,Mor01,Mor02,Mor03,Mor06,Mor01p,Mor02p,Mor03p,Mor06p,Mor01se,Mor02se,Mor03se,Mor06se,Xp-0d,Xp-1d,Xp-2d,IC1,AMID_C,BalabanJ,BertzCT,nF,nCl,MDEC-22,MDEC-23,BCUTp-1h,BCUTse-1h,retention_time_min
Benzylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,12,12,2,2,3,3,3.5263605246161616,3.9889840465642745,4.436751534363128,4.895972385776116,5.323619549410255,5.120983351265121,5.380761035759111,5.587014548601685,5.546884970202405,5.694573535570891,7.456851645591693,4.094200000000003,98.96000000000006,-4.353895991605922,322.2045134520007,6.444090269040014,325.2313073182576,269.9000000000002,566.5374641842719,0.9487183601142184,144.44833464205178,5,0.1923076923076923,18.7810650887574,9.629757785467127,5.25,0.3809523809523809,4,0,4098.287354911921,52,13,50,24,21,23.550000000000004,23.550000000000004,55.408617999999976,30.371382,30.623387763470628,0.0512816398857815,239.6293916482537,938.9722815442736,36.44086522086141,0.2993594264705552,0.7006405735294446,106.7518957152816,249.84918738367207,0.1966999798692862,0.1440219371980099,1,3,2,0,0.0,4.519132653061225,55.4546737473835,37.78431794449526,0.0,38.77279930352918,66.2271221763131,0.0,29.938443101175096,31.749653560165648,60.6636706846161,0.0,42.15548227284915,21.04211228315936,2.6250591598490223,5.030958128621819,0.0,10,2,20.73019250907689,2.394777269187443,1,1.9472291509196271,6,5.708788137551214,1,12.496562937706964,11,1,28.75,14.0,0.5833333333333334,-0.75,-0.03125,0.5233333333333335,19.00448086430969,0.6333938294010892,0.0716332378223495,1.8135113857692309,1.5147243825122692,1.297629746313078,7.51897046153846,7.49805617204301,7.43314765625,6.0875,6.002505376344086,5.870609375000001,-0.0529939772662796,0.0455628162297386,0.0814585941008429,1.1539228702645503,0.7139564193865994,0.7441193405028932,-0.0691053929286467,0.077567470332921,0.0520488864655906,1.0734389856562694,0.9353840120120492,1.018841964692914,1225.0,34.27848095009324,-6.528879255067197,-3.321576590280208,537.295153849878,21.73576838245367,-3.0115132385734174,-0.3213063979880007,1185.9416591649697,34.36780902418123,-6.583599767358125,-2.827052053841696,16.77781011412252,11.775188245478668,9.88151624290043,2.955084951819779,1.784522023804844,1.4997603247703335,633.4030250336976,0,0,25.797445525487305,16.74946783800342,1.9859521777689213,3.7019328939093374,12.4
Fentanyl propyl analog,CCC(=O)N(c1ccccc1)C1CCN(CCCc2ccccc2)CC1,12,12,2,2,3,3,3.58351893845611,4.02535169073515,4.460144413937834,4.895972385776116,5.306409536445373,5.076735095800779,5.299878647114989,5.440793014794791,5.316893752120972,5.402677381872279,7.344597922782556,4.526800000000004,108.44400000000006,-5.145884009027776,350.2358135800008,6.2542109567857285,359.82327776597225,298.08000000000067,625.9550353434304,0.9596660474931964,157.17821887084497,7,0.25,20.72704081632653,11.11111111111111,6.260869565217392,0.4347826086956521,6,0,4351.728040968701,58,13,56,26,23,23.550000000000004,23.550000000000004,61.41578999999997,34.38421,26.308360843739745,0.0403339525068036,273.7854927302344,1081.4390024344125,36.91503431092432,0.2901265851106642,0.7098734148893359,123.43364134531043,302.01389666031093,0.1865463441819609,0.1365875358947604,1,3,2,0,0.0,4.597563591794742,55.4546737473835,31.239561538582684,0.0,45.06968614346864,66.2271221763131,0.0,36.48319950708767,38.17047518309165,60.6636706846161,0.0,30.02274813592593,21.20340602250421,5.028101605979388,5.269076880560917,0.0,10,2,20.8744955228641,2.465795187023924,1,1.955342863806068,8,8.341835622734237,1,12.534457081699736,11,1,29.75,14.0,0.5384615384615384,-1.75,-0.0673076923076923,0.5136904761904764,19.39596346536227,0.6391231028667794,0.0659630606860158,1.7988718844827591,1.4880452177460863,1.2625439810059311,7.492034896551721,7.455030857142853,7.38565016438356,6.052586206896553,5.946790476190476,5.806445205479453,-0.0475608157134554,0.0511695600669363,0.0850978220872613,1.1824040378329952,0.7234968378824095,0.7632520274077722,-0.087181512462673,0.0838934396755774,0.0548395522565267,1.1135165407212004,0.9316778454579572,1.020349817397788,1540.0,40.18054245698768,-10.393319488796363,-4.665947581460234,661.7937126068755,23.46325189752286,-4.294282934623205,-0.3935281348146406,1483.995314379015,39.66096906146967,-10.218394123385274,-4.081376384988957,18.19202367649561,12.775188245478668,10.576717642287814,2.8718745863465074,1.801316121255471,1.400599687831185,663.1218780960684,0,0,30.08405136946969,16.6368218546762,1.9868299270963825,3.701937518199893,19.1
α-Methylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1,12,12,2,2,3,3,3.58351893845611,4.04305126783455,4.483002552013883,4.925440448033024,5.342932159306988,5.156177599386914,5.399010758105682,5.59819045072092,5.476202011456632,5.575949103146316,7.445965011960894,4.525200000000004,108.42200000000008,-4.772084009027776,350.2358135800008,6.2542109567857285,359.82327776597225,298.08000000000067,606.9855679276491,0.9505605080515732,157.17821887084497,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.75,0.4347826086956521,6,0,4413.658767617315,58,13,56,26,23,23.550000000000004,23.550000000000004,61.41578999999997,34.38421,31.56985572636706,0.0494394919484269,254.0429764617081,1053.8902261124597,37.47569142475221,0.3010799321004951,0.698920067899505,122.76625430856338,284.98677476939656,0.1873997382799883,0.1372123847608223,1,3,2,0,0.0,4.613390495086923,55.4546737473835,37.28140236773064,0.0,51.61444254938121,66.2271221763131,0.0,35.980283930323054,38.67339075985628,60.6636706846161,0.0,30.02274813592593,21.704608867492823,3.723058762814528,6.38176002795772,0.0,10,2,20.861620683021503,2.434565133789972,2,4.272643436876843,6,5.832175353895405,1,12.58059446697621,11,1,29.75,14.0,0.5384615384615384,-1.75,-0.0673076923076923,0.5136904761904764,19.838395335239447,0.6391231028667794,0.1055408970976253,1.7988718844827591,1.4921842300779813,1.2914295259747877,7.492034896551721,7.455913790476187,7.423505780821917,6.052586206896552,5.949276190476191,5.85604794520548,-0.0475608157134554,0.0511695600669363,0.0850978220872613,1.1824040378329952,0.7234968378824095,0.7632520274077722,-0.0696100153449624,0.1114275270867458,0.0945038871238136,1.0962588203377348,0.904635438179131,0.9813937742245596,1540.0,40.3146559166473,-8.156155634539525,-3.6369630990072,661.7937126068755,24.71390353838208,-3.594885764953004,-0.4331246724261822,1483.995314379015,39.999494730180935,-8.0614797157471,-3.1019318334723254,18.355160383312143,12.685871848001629,10.752854378694549,2.898834854280917,1.7945596710127498,1.496428556830924,677.8687105425691,0,0,24.04664983638578,19.6936357761702,1.987012380843569,3.701937716376347,16.1
Thiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1,11,11,2,1,3,2,3.5115454388310208,3.965563772356176,4.408242476804775,4.8495858725778405,5.056643815303811,4.994251814845732,5.246365960915937,5.427424925935652,5.2860549899758364,5.394195566816371,7.279879023307665,4.198200000000004,101.70400000000006,-4.318567891358045,342.1765844520007,6.843531689040015,329.0808055164563,276.46000000000026,579.7175515606774,0.9457572126623474,148.4536400268599,6,0.2307692307692307,18.7810650887574,9.629757785467127,5.25,0.45,5,0,4271.730411183073,52,12,50,24,20,23.550000000000004,51.790000000000006,56.63861799999997,32.831382,33.24901512163989,0.0542427873376524,200.33911646929468,921.7366852793152,39.884915704327646,0.3365823461191117,0.6634176538808881,126.46341573797768,249.26459613233013,0.2056817117096782,0.1505982778997997,1,4,3,0,0.0,4.575818478626019,31.18920547353706,42.66146513819656,0.0,38.64886452054263,52.72177944339848,0.0,36.48319950708767,31.06334926216996,47.84463224969719,0.0,41.35953401386067,14.813867953372164,3.821685900178865,5.237564045552411,0.0,8,2,16.631013633920173,2.505168402875384,1,1.9528080459303403,7,7.106441899800935,1,12.488053516899566,9,2,26.75,12.0,0.5,-2.75,-0.1145833333333333,0.5286666666666668,16.337416739673884,0.6422182468694101,0.0696378830083565,1.8925152319230767,1.5776216581754257,1.3056769021084411,7.541255307692307,7.514072531914893,7.453074346456693,6.081730769230769,5.983946808510638,5.854511811023622,0.0008621573894957,0.0440613481405443,0.0806724823242193,1.0256121974100323,0.7125987044028972,0.747376323898202,-0.0166261044369073,0.0704318300905415,0.0579037481776481,1.0059263714244524,0.9286375485469488,1.0093529208847531,1225.0,39.41789978296612,-7.571955929744908,-2.9599657791312297,560.9957168460414,23.429529871209937,-3.7071568344653727,-0.3079978245860104,1189.6452112826232,38.96032787236085,-7.60849712576021,-2.551281554928014,16.77781011412252,11.775188245478668,9.869610861101268,3.094555750124158,1.6965064109815422,1.464290924925469,618.3531101301007,0,0,22.461457081022843,15.551083679842629,2.936382702211183,3.701933673206667,12.4
α-Methylthiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1,11,11,2,1,3,2,3.5409593240373143,4.00277736869661,4.444120764469677,4.887996739463475,5.097195180290365,5.064570927761894,5.327876168789581,5.478814343140773,5.340238756511593,5.453717265775727,7.334778009429098,4.586700000000005,106.29900000000008,-4.340008517309782,356.1922345160008,6.720608198415109,346.37679074031354,290.5500000000005,589.0410512606268,0.951486504524463,154.81858214125648,6,0.2222222222222222,19.753086419753085,9.796296296296296,5.258488003621548,0.4761904761904761,6,0,4549.551066394999,55,12,53,25,21,23.550000000000004,51.790000000000006,59.64220399999997,34.837796000000004,30.03346893450676,0.0485134954755368,198.70790790574168,958.0810054841664,38.787560988973766,0.3395121254198052,0.6604878745801948,130.1191294045545,253.13413215028032,0.1998510611139097,0.1463291301477478,1,4,3,0,0.0,4.622114774922315,31.18920547353706,42.15854956143194,0.0,51.61444254938121,52.72177944339848,0.0,35.980283930323054,37.98708646186057,47.84463224969719,0.0,41.35953401386067,15.391804435063603,3.785061671783804,6.4144683612910525,0.0,8,2,16.66575386025762,2.501046615271453,2,4.280467510950917,6,5.91906252212394,1,12.55238607862796,9,2,27.25,12.0,0.48,-3.25,-0.13,0.5232704402515724,16.821428550027573,0.644827586206897,0.106951871657754,1.8804869214545457,1.5641872230818796,1.3166160661222133,7.525837381818179,7.491450339999997,7.462884279411763,6.063636363636364,5.95842,5.8704044117647065,0.0013435753168407,0.0475628563571151,0.0826087519156353,1.0427420412412676,0.7166764266009995,0.757050422881622,-0.0112145961133885,0.1015168782324932,0.0995816114733537,1.0098542501177543,0.899899406436029,0.970792826174994,1378.0,32.21045494282978,-7.348331330662931,-3.724258716418289,622.9522809426376,20.470609490159767,-3.365731246821264,-0.2985036881212178,1334.7241366505957,32.21861194449482,-7.255440302880577,-3.366263176353489,17.648053602125596,12.185871848001629,10.399300988101274,3.084712032824511,1.7018282948465275,1.50917317090744,647.8002774024206,0,0,19.05563553422453,18.01805846339141,2.9363844908674754,3.7019361902366312,14.3
2-Fluorofentanyl/ortho-Fluorofentanyl,CCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.58351893845611,4.060443010546419,4.516338972281476,4.959341999708705,5.394763264816289,5.206407648614333,5.373685704820876,5.575712332694162,5.605457337766298,5.621419368606078,7.481819751552383,4.275800000000004,103.78500000000004,-5.169117624037693,354.2107417040007,6.68322154158492,348.5948514959227,285.75000000000057,579.2727630045424,0.9178991392428508,154.9788121593746,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.75,0.4090909090909091,5,0,4620.612698182851,55,13,53,26,22,23.550000000000004,23.550000000000004,58.30241099999998,32.48758899999999,51.81265612153737,0.0821008607571491,222.05678964974928,1090.6184974133507,40.44309559735278,0.3240675644532787,0.6759324355467214,129.06600203381802,269.2028041997217,0.1773330074828511,0.131092524515287,1,4,2,0,0.0,4.142183956916099,49.38830667892189,32.096931669811696,5.817220841045895,38.64886452054263,65.97797594889738,0.0,36.48319950708767,31.749653560165648,54.59730361615449,0.0,12.990104268152232,17.185865727513352,3.197131550880371,4.752200918820237,0.0,9,3,17.10963861321084,1.4506112427725537,1,1.8384609181903555,7,6.110871551510253,1,12.50181746080337,11,1,30.5,14.5,0.5576923076923077,-1.5,-0.0576923076923076,0.5468104222821206,21.372167546599574,0.5947548460661348,0.0901073619631901,1.802458661272728,1.4968722131160606,1.2755416222162117,7.57506567272727,7.553348161616159,7.527733197080292,6.155454545454545,6.068919191919193,5.982802919708029,-0.0497020318436783,0.0107351790323302,0.030851849551891,1.1675148207663746,0.586989000291926,0.5975313237851695,-0.0808526771169534,0.0332302864055678,0.0293273856219825,1.0948597558610182,0.721997646372212,0.763168552777318,1378.0,42.65372735723815,-8.850780273818382,-3.885108239015908,595.6537213564485,25.20883049174712,-3.721349450554088,-0.3984625697525161,1357.021918393914,41.13825063324754,-8.965590284396324,-3.383171991977615,18.355160383312143,12.685871848001629,10.75066970042904,3.069954651655903,1.7274348491361922,1.4844818260002357,711.0920038457308,1,0,24.741277186980625,18.57326498439736,1.9872556845436435,4.009946603805725,15.9
3ʹ-Fluorofentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccc(F)c2)CC1,12,12,2,2,3,3,3.58351893845611,4.060443010546419,4.499809670330265,4.954064942607862,5.3706380281276624,5.221706264176197,5.36889231921764,5.53066839861316,5.491259409129125,5.597032104709321,7.451314272364763,4.275800000000004,103.78500000000008,-5.169117624037693,354.2107417040007,6.68322154158492,348.5948514959227,285.75000000000057,558.3623419679304,0.8744602002245879,154.9788121593746,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.9972838388411045,0.4090909090909091,5,0,4491.135097419009,55,13,53,26,22,23.550000000000004,23.550000000000004,58.30241099999998,32.48758899999999,80.15996221987139,0.125539799775412,203.9819507224068,1068.7596580172503,45.16105741517042,0.3402703011433006,0.6597296988566993,138.731853878653,268.9788790666468,0.1847829019846619,0.1352963595688619,1,4,2,0,0.0,4.407651034931879,37.255572541998674,37.78431794449526,5.817220841045895,38.64886452054263,65.97797594889738,0.0,36.48319950708767,31.749653560165648,54.59730361615449,0.0,48.22184934131076,17.092114586002502,3.334292440402372,4.8018351849746495,0.0,9,3,16.832605578695876,1.8699501830543364,1,1.923010780212745,7,6.213116845164277,1,12.512659560299316,11,1,30.5,14.5,0.5576923076923077,-1.5,-0.0576923076923076,0.5468104222821205,21.0762886005628,0.5947548460661349,0.0901073619631901,1.802458661272728,1.4968722131160606,1.2758887981005256,7.57506567272727,7.553348161616161,7.521546218978102,6.155454545454547,6.068919191919192,5.970737226277373,-0.0497020318436784,0.0107351790323302,0.030851849551891,1.1675148207663746,0.586989000291926,0.5975313237851696,-0.0808526771169534,0.0332302864055678,0.0293273856219825,1.0948597558610182,0.721997646372212,0.763168552777318,1378.0,41.93997402267156,-7.976980220117688,-3.212741159056145,595.6537213564486,24.681864136066583,-3.4450205461397614,-0.392862643386168,1357.021918393914,41.86079556242135,-8.062660602020491,-2.8102822396111184,18.355160383312143,12.66903509559602,10.85693144642605,3.069954651655903,1.7279750547787036,1.4439668922650168,711.092003845731,1,0,24.887385450277005,19.109439682814365,1.987612319472532,4.009941474088191,15.2
4-Methoxyfentanyl,CCC(=O)N(c1ccc(OC)cc1)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.610917912644224,4.07753744390572,4.532599493153256,4.969813299576001,5.421640582580036,5.339039356067959,5.589119566336061,5.692890033489777,5.567151043779362,5.673323267171493,7.550924089735841,4.145300000000003,110.37900000000006,-5.008944572586756,366.2307282000008,6.425100494736856,368.6135047174627,303.9500000000007,619.1659503741939,0.9217899788506764,162.29176410035186,7,0.2413793103448276,21.70273483947681,11.253462603878116,6.2374010828821325,0.4347826086956521,5,0,4649.651149619964,59,13,57,27,23,32.78,32.78,62.21778999999998,36.12021000000001,52.53363909866413,0.0782100211493234,303.2786463222242,1309.4927618853112,48.9668573484543,0.2742453240441656,0.7257546759558344,123.73409813374198,327.44624036426404,0.2548142698624198,0.1161614795926071,2,4,3,0,0.0,4.527876091794743,37.255572541998674,37.78431794449526,5.749511833283905,38.64886452054263,60.160755107851486,5.749511833283905,43.5929970483652,31.749653560165648,54.59730361615449,5.749511833283905,36.08911520438754,18.77850111946539,3.6537299881224703,5.108272774253565,1.6618429021290742,9,3,18.501815766311783,3.184636931740072,2,3.6001833554668217,7,6.823662309038287,1,12.639480521397978,11,1,31.25,14.5,0.5370370370370371,-2.25,-0.0833333333333333,0.5304093567251464,21.778137344726403,0.6106750392464682,0.1028277634961439,1.7665143949152546,1.459770677085255,1.301832583378676,7.577377559322031,7.565949509433959,7.487266647887323,6.140677966101695,6.053707547169811,5.9250070422535215,-0.0838124436121233,0.033166042143003,0.0729245181797262,1.2297545515768926,0.7720536685739341,0.7646840991369994,-0.0053906899549358,-0.0066628211413537,-0.0087917810849668,1.0267745776426018,1.1042273586986024,1.1240970294623105,1596.0,49.59294143321622,-8.586468433070227,-2.916253853221185,679.4549638457153,27.56426489267533,-3.3725078960107155,-0.1506457248066285,1557.147846646038,49.99810948547279,-8.819255725191546,-2.4582148163463926,19.06226716449869,13.207039898056806,11.014128043352647,3.060044340366864,1.733898157382946,1.4552006331574865,706.9180239904894,0,0,25.18185558631125,18.62041882796865,1.9873729334283885,3.702054222404041,16.9
para-Fluorofentanyl,CCC(=O)N(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.58351893845611,4.060443010546419,4.499809670330265,4.93806460126142,5.391352232515226,5.254561384592994,5.475678725207119,5.572154032177765,5.4866106404265,5.625820933186489,7.479969938208347,4.275800000000004,103.78500000000008,-5.169117624037693,354.2107417040007,6.68322154158492,348.5948514959227,285.75000000000057,559.033384192169,0.8742218699174203,154.9788121593746,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.9972838388411045,0.4090909090909091,5,0,4505.267516526436,55,13,53,26,22,23.550000000000004,23.550000000000004,58.30241099999998,32.48758899999999,80.43058191173967,0.1257781300825795,202.96496924534057,1070.4563846463006,45.14303996557389,0.3413006987071105,0.6586993012928894,139.56268986577882,269.3514740795622,0.184760003461907,0.1352811352021873,1,4,2,0,0.0,4.357876091794743,37.255572541998674,37.78431794449526,5.817220841045895,38.64886452054263,65.97797594889738,0.0,36.48319950708767,31.749653560165648,54.59730361615449,0.0,17.89001399900271,17.03108455909124,3.4330195865226454,4.917888247164491,0.0,9,3,16.835819273964844,1.9010066893735664,1,1.882784897782192,7,6.468122935904945,1,12.50743962633625,11,1,30.5,14.5,0.5576923076923077,-1.5,-0.0576923076923076,0.5468104222821206,21.12267239495757,0.5947548460661348,0.0901073619631901,1.802458661272728,1.4968722131160606,1.2758887981005254,7.57506567272727,7.553348161616161,7.521546218978102,6.155454545454545,6.068919191919192,5.970737226277373,-0.0497020318436783,0.0107351790323302,0.030851849551891,1.1675148207663746,0.5869890002919259,0.5975313237851695,-0.0808526771169534,0.0332302864055678,0.0293273856219825,1.0948597558610182,0.7219976463722118,0.763168552777318,1378.0,42.0060113834158,-7.903916474536813,-3.0494862115418533,595.6537213564485,24.66436525374876,-3.408145701800698,-0.3353321954498934,1357.021918393914,42.38459470196366,-7.996555248899013,-2.638976530352502,18.355160383312143,12.66903509559602,10.845026064626884,3.069954651655903,1.7279607642873256,1.4555539042225747,693.8420038457308,1,0,25.18185558631125,18.62041882796865,1.9872156201173363,4.009941301522446,14.8
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,O=C(CCc1ccccc1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,18,18,3,3,4,4,3.80666248977032,4.283586561860629,4.738389029774314,5.195038017094035,5.636796516542151,5.3904976533434334,5.638799410279479,5.865227911500195,5.98425109258968,6.166074151426336,7.800214277602946,5.359500000000006,128.29900000000004,-6.469340401963187,412.2514636440009,6.543674026095252,415.1373680942917,344.7700000000013,711.6415570743557,0.955376105714929,185.8703709625124,8,0.2352941176470588,24.13494809688581,13.03202479338843,7.5,0.3214285714285714,6,0,5345.891223128708,66,19,63,31,28,23.550000000000004,23.550000000000004,71.09937599999998,36.39062400000001,33.239493244375666,0.0446238942850709,241.6053949219587,1430.992709354332,47.15386131944361,0.3378228343850493,0.6621771656149508,187.44024939589795,367.4075297280384,0.160986061106116,0.1181991406260453,1,3,2,0,0.0,4.623605258461409,78.86277189000094,37.78431794449526,0.0,38.14594894377801,102.12240901031818,0.0,36.48319950708767,30.38936785217202,90.99550602692418,0.0,36.39820241076966,31.506031175715897,4.483621974958971,3.184148879608108,0.0,15,3,31.229504657701284,3.647699527624083,0,0.0,8,7.667770854567079,1,13.320829649011989,16,1,38.75,20.0,0.6451612903225806,1.25,0.0403225806451612,0.5216931216931217,27.494712336093112,0.6504297994269345,0.0220264317180616,1.8681069381818192,1.581341190758906,1.325857142970536,7.485096727272722,7.459576068376063,7.379151365853656,6.05378787878788,5.96917094017094,5.812871951219514,-0.0223828255019715,0.0502016897414389,0.0816856047909807,1.082983728449621,0.7155289354223143,0.750883207086646,-0.107651869450902,0.0671504137898033,0.0255234718956284,1.1047655293892276,0.9489966988032602,1.0392392214477502,1953.0,55.53001177904603,-8.753877179594909,-4.897178105360168,889.1930959579425,35.80460165949697,-3.79388462853193,-0.8699097268847626,1882.9809254432985,54.60546527865407,-8.67457098590626,-4.384177452215469,21.30490785161797,15.292826335683708,12.896302075174187,2.799448793756451,1.859903293592457,1.2552891976089124,919.0007621367048,0,0,42.56733690262016,24.39971672815017,1.9946592187149423,3.7019511912838654,25.2
