compound,precursor_mz,quant_ion_mz,qual_ion_1_mz,qual_ion_2_mz,retention_time_min
Benzylfentanyl,323.3,91.0,65.0,174.0,12.4
Fentanyl propyl analog,351.3,98.0,202.0,55.0,19.1
α-Methylfentanyl,351.3,91.0,202.0,119.0,16.1
Thiofentanyl,343.3,111.0,194.0,84.0,12.4
α-Methylthiofentanyl,357.3,97.0,125.0,84.1,14.3
2-Fluorofentanyl/ortho-Fluorofentanyl,355.3,188.2,105.2,79.1,15.9
3ʹ-Fluorofentanyl,355.3,188.0,105.0,77.0,15.2
4-Methoxyfentanyl,367.3,188.0,105.0,246.3,16.9
para-Fluorofentanyl,355.3,188.2,105.0,76.9,14.8
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,413.1,188.0,131.9,292.0,25.2
Acetylfentanyl,323.3,105.0,188.0,77.0,9.8
Acrylfentanyl,335.3,105.0,188.0,77.0,13.5
Cyclopropylfentanyl,349.4,188.0,105.0,77.1,17.6
Benzoylfentanyl,385.3,188.0,105.0,76.9,21.3
Butyrfentanyl,351.4,105.0,188.0,79.0,19.1
2-Thiofuranylfentanyl,391.3,188.2,105.1,78.9,22.6
Furanylfentanyl,375.3,188.0,105.0,77.0,16.8
Cyclohexylfentanyl,391.3,83.0,188.1,105.0,25.0
Isobutyrylfentanyl,351.4,105.0,188.0,230.2,18.1
Methoxyacetylfentanyl,353.3,188.0,105.0,79.0,9.3
Tetrahydrofuranylfentanyl,379.3,105.0,188.0,71.0,13.0
4-Fluorobutyrfentanyl/para-Fluorobutyrylfentanyl,369.3,188.0,105.0,76.9,20.2
para-Chloroisobutyrfentanyl,385.3,188.0,105.0,78.9,23.4
4-Fluoroisobutyrfentanyl,369.3,105.0,188.2,79.0,19.8
4-Chloro furanyl fentanyl,409.2,105.0,188.0,79.0,22.6
ortho-Methyl acrylfentanyl,349.3,105.0,188.2,76.9,17.0
4-Methoxybutyrfentanyl,381.3,105.0,188.0,79.1,21.8
