compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
Benzylfentanyl,0,12.4,12.844335826196517,-0.44433582619651624,0.44433582619651624
Fentanyl propyl analog,1,19.1,18.241943497794583,0.8580565022054181,0.8580565022054181
α-Methylfentanyl,2,16.1,16.629686954858197,-0.529686954858196,0.529686954858196
Thiofentanyl,3,12.4,13.959873145801682,-1.5598731458016815,1.5598731458016815
α-Methylthiofentanyl,4,14.3,15.996948464437187,-1.6969484644371864,1.6969484644371864
2-Fluorofentanyl/ortho-Fluorofentanyl,5,15.9,16.162320051450607,-0.26232005145060633,0.26232005145060633
3ʹ-Fluorofentanyl,6,15.2,15.591498135165748,-0.39149813516574916,0.39149813516574916
4-Methoxyfentanyl,7,16.9,17.12751827422014,-0.2275182742201416,0.2275182742201416
para-Fluorofentanyl,8,14.8,15.542805624956216,-0.7428056249562154,0.7428056249562154
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,9,25.2,26.826817077719667,-1.626817077719668,1.626817077719668
Acetylfentanyl,10,9.8,11.070473468192237,-1.270473468192236,1.270473468192236
Acrylfentanyl,11,13.5,14.394707832998414,-0.8947078329984137,0.8947078329984137
Cyclopropylfentanyl,12,17.6,16.736556144152285,0.8634438558477164,0.8634438558477164
Benzoylfentanyl,13,21.3,21.112856510746177,0.18714348925382396,0.18714348925382396
Butyrfentanyl,14,19.1,17.993431765235226,1.1065682347647758,1.1065682347647758
2-Thiofuranylfentanyl,15,22.6,19.86131341568252,2.738686584317481,2.738686584317481
Furanylfentanyl,16,16.8,17.238193804665276,-0.4381938046652749,0.4381938046652749
Cyclohexylfentanyl,17,25.0,27.480528894210295,-2.4805288942102948,2.4805288942102948
Isobutyrylfentanyl,18,18.1,18.009805184838118,0.09019481516188321,0.09019481516188321
Methoxyacetylfentanyl,19,9.3,11.477180979545365,-2.177180979545364,2.177180979545364
Tetrahydrofuranylfentanyl,20,13.0,14.892493693276654,-1.8924936932766538,1.8924936932766538
4-Fluorobutyrfentanyl/para-Fluorobutyrylfentanyl,21,20.2,19.362180311781046,0.8378196882189535,0.8378196882189535
para-Chloroisobutyrfentanyl,22,23.4,24.293390602463703,-0.8933906024637039,0.8933906024637039
4-Fluoroisobutyrfentanyl,23,19.8,17.880086713836526,1.9199132861634745,1.9199132861634745
4-Chloro furanyl fentanyl,24,22.6,21.71394362780885,0.8860563721911525,0.8860563721911525
ortho-Methyl acrylfentanyl,25,17.0,15.84792627710956,1.1520737228904405,1.1520737228904405
4-Methoxybutyrfentanyl,26,21.8,20.501401622251723,1.2985983777482772,1.2985983777482772
Despropionyl ortho-methyl fentanyl,27,16.5,15.604224265637272,0.8957757343627275,0.8957757343627275
Acetyl-α-methylfentanyl,28,11.4,13.666986397541189,-2.2669863975411886,2.2669863975411886
Butyryl-F-fentanyl N-benzyl analog,29,17.8,16.874409670413588,0.925590329586413,0.925590329586413
β-Hydroxyfentanyl,30,11.4,11.144756906790803,0.2552430932091969,0.2552430932091969
2-Methylfuranyl fentanyl,31,20.0,20.214818022769727,-0.21481802276972672,0.21481802276972672
Despropionyl-2-fluorofentanyl,32,14.0,15.371016825088816,-1.371016825088816,1.371016825088816
2-Fluoro butyrfentanyl,33,21.1,19.64595673668481,1.4540432633151923,1.4540432633151923
ortho-Methyl methoxyacetyl fentanyl,34,11.9,13.987947136831469,-2.0879471368314686,2.0879471368314686
Benzylfuranyl fentanyl,35,15.0,14.978890841971925,0.021109158028075115,0.021109158028075115
Cyclopentyl fentanyl,36,24.2,21.77736770188947,2.4226322981105284,2.4226322981105284
Benzoylbenzyl fentanyl,37,19.3,18.792149285439486,0.5078507145605151,0.5078507145605151
meta-Methyl acetylfentanyl,38,13.8,13.299275030574965,0.5007249694250362,0.5007249694250362
Isobutyl-F-fentanyl N-benzyl analog,39,16.8,16.626224545720746,0.17377545427925511,0.17377545427925511
Benzodioxole fentanyl,40,22.8,21.07005924592474,1.7299407540752618,1.7299407540752618
3-Methylfentanyl,41,17.4,17.213308418376652,0.18669158162334654,0.18669158162334654
3-Methylthiofentanyl,42,15.5,16.32434711423733,-0.8243471142373302,0.8243471142373302
β-Hydroxy-3-methylfentanyl (A),43,13.8,14.225875889430544,-0.425875889430543,0.425875889430543
β-Hydroxy-3-methylfentanyl (B),44,14.5,14.266017537333536,0.23398246266646439,0.23398246266646439
Despropionyl-3 methyl fentanyl,45,16.0,15.424130155176089,0.5758698448239112,0.5758698448239112
Brifentanil,46,8.8,7.853826204843488,0.946173795156513,0.946173795156513
4-Phenylfentanyl,47,25.1,28.79519239035666,-3.6951923903566595,3.6951923903566595
N-Methyl carfentanil,48,5.2,3.4284510573565647,1.7715489426434354,1.7715489426434354
Carfentanil,49,17.2,16.134833397785048,1.0651666022149513,1.0651666022149513
Ocfentanil,50,10.3,12.73020289955478,-2.4302028995547786,2.4302028995547786
"2,2′-Difluoro acetylfentanyl",51,12.3,13.601086974003955,-1.3010869740039546,1.3010869740039546
2-Furanylethyl fentanyl,52,9.9,9.407067763335112,0.4929322366648883,0.4929322366648883
4′-Methyl acetyl fentanyl,53,14.3,14.3242141166272,-0.02421411662719919,0.02421411662719919
Hexanoyl fentanyl,54,25.2,26.020927362167885,-0.8209273621678861,0.8209273621678861
4′′-Methoxy fentanyl,55,16.0,17.62024837993826,-1.6202483799382605,1.6202483799382605
2-Methoxy furanyl fentanyl,56,18.7,19.291298777042645,-0.5912987770426454,0.5912987770426454
3-Fluoro butyrfentanyl,57,18.8,19.302738565828246,-0.5027385658282455,0.5027385658282455
ortho-Methyl acetylfentanyl,58,12.5,13.211892257957624,-0.7118922579576239,0.7118922579576239
3-Furanyl fentanyl,59,18.4,14.409461416770387,3.990538583229611,3.990538583229611
N-Acetyl norfentanyl,60,2.7,-1.1614296600068954,3.8614296600068956,3.8614296600068956
para-Methoxy furanyl fentanyl,61,19.5,18.953808390458942,0.5461916095410579,0.5461916095410579
Acetyl carfentanil,62,12.5,12.919868900060708,-0.4198689000607079,0.4198689000607079
N-Ethyl carfentanil,63,5.9,5.866177759788471,0.033822240211529575,0.033822240211529575
"2,2′-Difluorofentanyl",64,17.6,16.0500317446981,1.549968255301902,1.549968255301902
Valerylfentanyl oxalate,65,23.5,21.030626908030634,2.4693730919693664,2.4693730919693664
"Fentanyl, 4-N-propyl analog",66,5.8,8.347525710396026,-2.547525710396026,2.547525710396026
N-Methyl norfentanyl,67,4.2,2.4237577084969484,1.7762422915030518,1.7762422915030518
Norfentanyl,68,4.2,3.7094666905610456,0.49053330943895457,0.49053330943895457
Butyryl norfentanyl,69,6.6,7.617194413440764,-1.0171944134407642,1.0171944134407642
Furanyl norfentanyl,70,5.1,6.733532011357562,-1.6335320113575627,1.6335320113575627
β-Methylfentanyl,71,17.7,18.354279306468335,-0.6542793064683359,0.6542793064683359
Tetramethylcyclopropylfentanyl,72,25.6,23.72152109424966,1.8784789057503417,1.8784789057503417
Fentanyl propyl acetyl analog,73,13.8,14.93122343791454,-1.1312234379145387,1.1312234379145387
Fentanyl N-oxide,74,19.5,16.67214863170861,2.827851368291391,2.827851368291391
Mirfentanil,75,8.8,13.302780132784022,-4.502780132784022,4.502780132784022
Fentanyl isothiocyanate,76,25.1,18.45875267569641,6.641247324303592,6.641247324303592
α-Methylbutyryl fentanyl,77,21.1,20.136019301760868,0.9639806982391335,0.9639806982391335
N-Propyl carfentanil,78,7.4,9.457643267891903,-2.057643267891903,2.057643267891903
N-Isopropyl carfentanil,79,7.0,7.807551424286787,-0.8075514242867872,0.8075514242867872
Norcarfentanil,80,5.3,5.473553542760374,-0.1735535427603745,0.1735535427603745
4-Methoxymethyl fentanyl,81,22.5,16.77868007674913,5.721319923250871,5.721319923250871
Norsufentanil,82,7.9,7.709215898055646,0.19078410194435413,0.19078410194435413
Thienyl fentanyl,83,10.7,12.842510602998734,-2.142510602998735,2.142510602998735
omega-Hydroxy fentanyl,84,7.7,11.999591392241873,-4.299591392241873,4.299591392241873
2-Isopropylfuranyl fentanyl,85,24.6,25.917780652348647,-1.3177806523486453,1.3177806523486453
β-Methyl acetyl fentanyl,86,12.6,15.041561691266,-2.441561691266001,2.441561691266001
