perm_idx,seed_perm,null_r2
0,42,-0.43132159812817783
1,43,-0.1296716679485812
2,44,-0.38476315133902694
3,45,-0.14260622082944271
4,46,-0.5599569203260062
5,47,-0.6127397696601653
6,48,-0.2514613571570402
7,49,-0.1337330043929313
8,50,-0.5065344361305537
9,51,-0.5907322316315555
10,52,-0.44759436988787
11,53,-0.5516505143051729
12,54,-0.3864184659828792
13,55,-0.520606726628842
14,56,-0.5410584244692107
15,57,-0.5024678777571053
16,58,-0.34248488736987825
17,59,-0.37352929906511034
18,60,-0.39335372352228193
19,61,-0.23432706583513835
20,62,-0.38031204670301144
21,63,-0.6006015966485292
22,64,-0.3390892351712061
23,65,-0.44227224827735806
24,66,-0.13522530325723509
25,67,-0.5815931537834146
26,68,-0.40383147104776373
27,69,-0.5933361142787417
28,70,-0.31351143651925345
29,71,-0.17329863847742719
30,72,-0.7771363345191056
31,73,-0.494275031170165
32,74,-0.3882976207958907
33,75,-0.35384784438931594
34,76,-0.1625403582593855
35,77,-0.2237906686503428
36,78,-0.17437251100657442
37,79,-0.434327637306836
38,80,-0.5453770315114076
39,81,-0.05161833775536434
40,82,-0.3059675996452047
41,83,-0.4004991676406256
42,84,-0.41696221885784535
43,85,-0.08107701921824534
44,86,-0.3285556799438796
45,87,-0.5627478129435433
46,88,-0.484871316500789
47,89,-0.507002277167083
48,90,-0.26536503464536404
49,91,-0.46906474426524003
50,92,-0.380937635527049
51,93,-0.4242772706097001
52,94,-0.569309123042209
53,95,-0.20257650363005048
54,96,-0.3254648081423134
55,97,-0.43645057819435945
56,98,-0.565122349067366
57,99,-0.3052455414087992
58,100,-0.4700987980345553
59,101,-0.31981004413167613
60,102,-0.457397601853682
61,103,-0.5988937774304521
62,104,-0.6015448530122484
63,105,-0.46946519370616907
64,106,-0.3325243321471187
65,107,-0.35619793927727705
66,108,-0.42907619572624156
67,109,-0.4315863277262807
68,110,-0.7192550499009458
69,111,-0.30830336485841275
70,112,-0.48561055793090746
71,113,-0.47327878973958304
72,114,-0.3447400216082867
73,115,-0.4421754005645262
74,116,-0.2176661891732449
75,117,-0.5778296721384445
76,118,-0.3003777205536557
77,119,-0.4809139406476478
78,120,-0.2324871322743994
79,121,-0.4322461112758177
80,122,-0.35705921661758716
81,123,-0.4048858326725814
82,124,-0.06567218873344889
83,125,-0.5406056971343185
84,126,-0.3172010060540985
85,127,-0.3672623112717309
86,128,-0.7359136126057269
87,129,-0.6342695426029465
88,130,-0.2933356830581041
89,131,-0.3009252203111309
90,132,-0.36978726595816885
91,133,-0.5740668257438789
92,134,-0.1279811683892605
93,135,-0.3141363137809135
94,136,-0.3428403227896685
95,137,-0.2519546900634341
96,138,-0.368672814459342
97,139,-0.4820864147957892
98,140,-0.27401685348588956
99,141,-0.34325674187735056
