compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
Benzylfentanyl,0,12.4,12.068012826617824,0.331987173382176,0.331987173382176
Fentanyl propyl analog,1,19.1,18.750312429792434,0.3496875702075677,0.3496875702075677
α-Methylfentanyl,2,16.1,17.463637509157504,-1.3636375091575026,1.3636375091575026
Thiofentanyl,3,12.4,13.00418786935288,-0.604187869352879,0.604187869352879
α-Methylthiofentanyl,4,14.3,14.092525793650786,0.20747420634921454,0.20747420634921454
2-Fluorofentanyl/ortho-Fluorofentanyl,5,15.9,16.584896674306087,-0.6848966743060867,0.6848966743060867
3ʹ-Fluorofentanyl,6,15.2,15.774391036414578,-0.5743910364145783,0.5743910364145783
4-Methoxyfentanyl,7,16.9,16.48736493930906,0.41263506069093836,0.41263506069093836
para-Fluorofentanyl,8,14.8,16.285309128458426,-1.4853091284584252,1.4853091284584252
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,9,25.2,23.939639495798318,1.2603605042016817,1.2603605042016817
Acetylfentanyl,10,9.8,11.929929999999988,-2.1299299999999874,2.1299299999999874
Acrylfentanyl,11,13.5,13.262409847374839,0.23759015262516137,0.23759015262516137
Cyclopropylfentanyl,12,17.6,13.83437476190475,3.765625238095252,3.765625238095252
Benzoylfentanyl,13,21.3,22.80746999999999,-1.5074699999999908,1.5074699999999908
Butyrfentanyl,14,19.1,18.43443296481296,0.665567035187042,0.665567035187042
2-Thiofuranylfentanyl,15,22.6,21.527790476190454,1.0722095238095477,1.0722095238095477
Furanylfentanyl,16,16.8,18.429532380952384,-1.6295323809523836,1.6295323809523836
Cyclohexylfentanyl,17,25.0,24.20165031746031,0.7983496825396905,0.7983496825396905
Isobutyrylfentanyl,18,18.1,16.948291970415205,1.1517080295847961,1.1517080295847961
Methoxyacetylfentanyl,19,9.3,11.617007301587298,-2.3170073015872976,2.3170073015872976
Tetrahydrofuranylfentanyl,20,13.0,16.748167171717174,-3.7481671717171743,3.7481671717171743
4-Fluorobutyrfentanyl/para-Fluorobutyrylfentanyl,21,20.2,19.120859175269175,1.0791408247308247,1.0791408247308247
para-Chloroisobutyrfentanyl,22,23.4,21.36696936507936,2.033030634920639,2.033030634920639
