compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
Benzylfentanyl,0,12.4,10.781478881835938,1.6185211181640629,1.6185211181640629
Fentanyl propyl analog,1,19.1,19.03614044189453,0.06385955810547017,0.06385955810547017
α-Methylfentanyl,2,16.1,16.51756477355957,-0.4175647735595689,0.4175647735595689
Thiofentanyl,3,12.4,12.46487045288086,-0.06487045288085902,0.06487045288085902
α-Methylthiofentanyl,4,14.3,13.606219291687012,0.693780708312989,0.693780708312989
2-Fluorofentanyl/ortho-Fluorofentanyl,5,15.9,17.09424591064453,-1.194245910644531,1.194245910644531
3ʹ-Fluorofentanyl,6,15.2,15.441475868225098,-0.24147586822509837,0.24147586822509837
4-Methoxyfentanyl,7,16.9,16.3753719329834,0.5246280670166001,0.5246280670166001
para-Fluorofentanyl,8,14.8,16.17873191833496,-1.3787319183349602,1.3787319183349602
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,9,25.2,24.293521881103516,0.9064781188964837,0.9064781188964837
Acetylfentanyl,10,9.8,9.876714706420898,-0.07671470642089773,0.07671470642089773
Acrylfentanyl,11,13.5,12.336360931396484,1.1636390686035156,1.1636390686035156
Cyclopropylfentanyl,12,17.6,12.889159202575684,4.710840797424318,4.710840797424318
Benzoylfentanyl,13,21.3,23.652019500732422,-2.352019500732421,2.352019500732421
Butyrfentanyl,14,19.1,18.64594841003418,0.45405158996582173,0.45405158996582173
2-Thiofuranylfentanyl,15,22.6,21.648338317871094,0.9516616821289077,0.9516616821289077
Furanylfentanyl,16,16.8,18.149394989013672,-1.3493949890136712,1.3493949890136712
Cyclohexylfentanyl,17,25.0,25.044973373413086,-0.04497337341308594,0.04497337341308594
Isobutyrylfentanyl,18,18.1,16.982542037963867,1.1174579620361342,1.1174579620361342
Methoxyacetylfentanyl,19,9.3,9.581572532653809,-0.2815725326538079,0.2815725326538079
Tetrahydrofuranylfentanyl,20,13.0,15.589799880981445,-2.5897998809814453,2.5897998809814453
4-Fluorobutyrfentanyl/para-Fluorobutyrylfentanyl,21,20.2,19.10630989074707,1.093690109252929,1.093690109252929
para-Chloroisobutyrfentanyl,22,23.4,21.734270095825195,1.6657299041748033,1.6657299041748033
4-Fluoroisobutyrfentanyl,23,19.8,17.196359634399414,2.6036403656005866,2.6036403656005866
4-Chloro furanyl fentanyl,24,22.6,21.016202926635742,1.5837970733642592,1.5837970733642592
ortho-Methyl acrylfentanyl,25,17.0,16.429704666137695,0.5702953338623047,0.5702953338623047
4-Methoxybutyrfentanyl,26,21.8,21.448993682861328,0.3510063171386726,0.3510063171386726
Despropionyl ortho-methyl fentanyl,27,16.5,15.260683059692383,1.2393169403076172,1.2393169403076172
Acetyl-α-methylfentanyl,28,11.4,13.196416854858398,-1.796416854858398,1.796416854858398
Butyryl-F-fentanyl N-benzyl analog,29,17.8,16.76029396057129,1.0397060394287116,1.0397060394287116
β-Hydroxyfentanyl,30,11.4,11.8738431930542,-0.47384319305419886,0.47384319305419886
2-Methylfuranyl fentanyl,31,20.0,22.400426864624023,-2.4004268646240234,2.4004268646240234
Despropionyl-2-fluorofentanyl,32,14.0,14.31606388092041,-0.31606388092041016,0.31606388092041016
2-Fluoro butyrfentanyl,33,21.1,19.28648567199707,1.813514328002931,1.813514328002931
ortho-Methyl methoxyacetyl fentanyl,34,11.9,15.810396194458008,-3.9103961944580075,3.9103961944580075
Benzylfuranyl fentanyl,35,15.0,16.046117782592773,-1.0461177825927734,1.0461177825927734
Cyclopentyl fentanyl,36,24.2,23.422557830810547,0.7774421691894524,0.7774421691894524
Benzoylbenzyl fentanyl,37,19.3,19.482316970825195,-0.1823169708251946,0.1823169708251946
meta-Methyl acetylfentanyl,38,13.8,13.662862777709961,0.13713722229003977,0.13713722229003977
Isobutyl-F-fentanyl N-benzyl analog,39,16.8,15.96722412109375,0.8327758789062507,0.8327758789062507
Benzodioxole fentanyl,40,22.8,20.89188575744629,1.9081142425537116,1.9081142425537116
3-Methylfentanyl,41,17.4,16.978870391845703,0.42112960815429545,0.42112960815429545
3-Methylthiofentanyl,42,15.5,14.628313064575195,0.8716869354248047,0.8716869354248047
β-Hydroxy-3-methylfentanyl (A),43,13.8,14.34219741821289,-0.5421974182128899,0.5421974182128899
β-Hydroxy-3-methylfentanyl (B),44,14.5,13.582600593566895,0.9173994064331055,0.9173994064331055
Despropionyl-3 methyl fentanyl,45,16.0,13.486838340759277,2.5131616592407227,2.5131616592407227
Brifentanil,46,8.8,10.355849266052246,-1.5558492660522454,1.5558492660522454
4-Phenylfentanyl,47,25.1,24.487043380737305,0.6129566192626967,0.6129566192626967
N-Methyl carfentanil,48,5.2,5.551016330718994,-0.35101633071899396,0.35101633071899396
Carfentanil,49,17.2,17.103790283203125,0.09620971679687429,0.09620971679687429
Ocfentanil,50,10.3,13.451656341552734,-3.1516563415527337,3.1516563415527337
"2,2′-Difluoro acetylfentanyl",51,12.3,15.3848237991333,-3.0848237991333,3.0848237991333
2-Furanylethyl fentanyl,52,9.9,8.244157791137695,1.655842208862305,1.655842208862305
4′-Methyl acetyl fentanyl,53,14.3,13.400200843811035,0.8997991561889656,0.8997991561889656
Hexanoyl fentanyl,54,25.2,23.654064178466797,1.5459358215332024,1.5459358215332024
4′′-Methoxy fentanyl,55,16.0,16.80239486694336,-0.8023948669433594,0.8023948669433594
2-Methoxy furanyl fentanyl,56,18.7,20.189725875854492,-1.489725875854493,1.489725875854493
3-Fluoro butyrfentanyl,57,18.8,19.43234634399414,-0.6323463439941399,0.6323463439941399
ortho-Methyl acetylfentanyl,58,12.5,13.322065353393555,-0.8220653533935547,0.8220653533935547
3-Furanyl fentanyl,59,18.4,16.039892196655273,2.360107803344725,2.360107803344725
