perm_idx,seed_perm,null_r2
0,42,-0.304870096150019
1,43,-0.06621318049894913
2,44,-0.31541097943968754
3,45,-0.0012619197184487007
4,46,-0.3383713067783705
5,47,-0.28574597119685163
6,48,-0.47953182254263516
7,49,-0.08883131557918157
8,50,-0.45761444689334035
9,51,-0.5225924287986199
10,52,-0.02660633756021117
11,53,-0.33320961281841577
12,54,-0.34102640252471117
13,55,-0.3202372990406487
14,56,-0.33982359502686854
15,57,-0.12984967477177703
16,58,-0.33068337545227616
17,59,-0.3115818160994118
18,60,-0.14404144422474027
19,61,-0.08110205920145747
20,62,-0.5391008665618328
21,63,-0.3522771719862937
22,64,-0.11534319958616006
23,65,-0.45769629243187826
24,66,-0.08891772506006126
25,67,-0.2562656707124138
26,68,-0.06450092585313594
27,69,-0.25976231268287603
28,70,-0.41372853534487664
29,71,-0.3290459288002491
30,72,-0.43591186693657297
31,73,-0.28395220254972553
32,74,-0.28669677507560404
33,75,-0.4340348367585879
34,76,-0.369297532683399
35,77,-0.3593449814505065
36,78,-0.2506794058635555
37,79,-0.43520911905966236
38,80,-0.4253756861621989
39,81,-0.13207836213787774
40,82,-0.26191929024962335
41,83,-0.12569405822267515
42,84,-0.22178037663333589
43,85,-0.11353023739417037
44,86,-0.3097039686408427
45,87,-0.2785066912643736
46,88,-0.2754176577727626
47,89,-0.520179305365406
48,90,-0.3501993665862043
49,91,-0.3630859571908667
50,92,-0.29965046084596636
51,93,-0.08835718868986431
52,94,-0.463092124405814
53,95,-0.22608652621427136
54,96,-0.14280159448549104
55,97,-0.1822846449344218
56,98,-0.2555897344925637
57,99,-0.37540429696937405
58,100,-0.22617488624029808
59,101,-0.4916426500389088
60,102,-0.36569397526405256
61,103,-0.4759724653642984
62,104,-0.25527599260652584
63,105,-0.2599764720200099
64,106,-0.46848893089611643
65,107,-0.341659722721588
66,108,-0.5515668065012802
67,109,-0.46538593165754366
68,110,-0.5385754800364386
69,111,-0.28513891489022314
70,112,-0.4971249048376853
71,113,-0.35128104810584515
72,114,-0.47317910035909405
73,115,-0.38301473152082266
74,116,-0.0810614253681504
75,117,-0.31517582106687614
76,118,-0.33316524514369067
77,119,-0.18726182833430716
78,120,-0.15993004815494669
79,121,-0.4898485116249648
80,122,-0.31210322582998434
81,123,-0.21998666970353858
82,124,-0.007475160870052211
83,125,-0.5319276621110802
84,126,-0.28206473324405457
85,127,-0.1885544092283688
86,128,-0.4216531139879397
87,129,-0.6401009993436392
88,130,-0.32252452719179486
89,131,-0.3001596134618836
90,132,-0.2827622003172185
91,133,-0.04521337926268328
92,134,-0.13157584852031456
93,135,-0.1791063410011954
94,136,-0.19413675659396887
95,137,-0.3923853885987956
96,138,-0.48171931428538406
97,139,-0.3047160784060708
98,140,-0.25949164346826653
99,141,-0.479058659039031
