compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
Benzylfentanyl,0,12.4,11.965777301441335,0.43422269855866524,0.43422269855866524
Fentanyl propyl analog,1,19.1,18.480462807622565,0.619537192377436,0.619537192377436
α-Methylfentanyl,2,16.1,16.444743845695108,-0.3447438456951062,0.3447438456951062
Thiofentanyl,3,12.4,13.222858214590037,-0.8228582145900365,0.8228582145900365
α-Methylthiofentanyl,4,14.3,14.95849055628423,-0.6584905562842298,0.6584905562842298
2-Fluorofentanyl/ortho-Fluorofentanyl,5,15.9,16.419955341400733,-0.519955341400733,0.519955341400733
3ʹ-Fluorofentanyl,6,15.2,15.647139195537473,-0.44713919553747417,0.44713919553747417
4-Methoxyfentanyl,7,16.9,16.883565918393753,0.0164340816062456,0.0164340816062456
para-Fluorofentanyl,8,14.8,15.448139867697233,-0.6481398676972319,0.6481398676972319
Hydrocinnamoylfentanyl/3-Phenylpropanylfentanyl,9,25.2,25.715800840116557,-0.5158008401165581,0.5158008401165581
Acetylfentanyl,10,9.8,10.032751739894405,-0.2327517398944039,0.2327517398944039
Acrylfentanyl,11,13.5,13.799190076277368,-0.2991900762773678,0.2991900762773678
Cyclopropylfentanyl,12,17.6,16.573824872528615,1.0261751274713866,1.0261751274713866
Benzoylfentanyl,13,21.3,21.043500509587698,0.2564994904123026,0.2564994904123026
Butyrfentanyl,14,19.1,18.648986538609652,0.4510134613903496,0.4510134613903496
2-Thiofuranylfentanyl,15,22.6,20.93582617608464,1.6641738239153625,1.6641738239153625
Furanylfentanyl,16,16.8,17.56996815130743,-0.769968151307431,0.769968151307431
Cyclohexylfentanyl,17,25.0,26.341491187779383,-1.3414911877793827,1.3414911877793827
Isobutyrylfentanyl,18,18.1,18.133387275641894,-0.0333872756418927,0.0333872756418927
Methoxyacetylfentanyl,19,9.3,10.19434689083752,-0.8943468908375198,0.8943468908375198
Tetrahydrofuranylfentanyl,20,13.0,16.08118243839437,-3.0811824383943716,3.0811824383943716
4-Fluorobutyrfentanyl/para-Fluorobutyrylfentanyl,21,20.2,19.859612164130745,0.3403878358692545,0.3403878358692545
para-Chloroisobutyrfentanyl,22,23.4,23.467698688789906,-0.06769868878990692,0.06769868878990692
4-Fluoroisobutyrfentanyl,23,19.8,17.749211206036534,2.0507887939634664,2.0507887939634664
4-Chloro furanyl fentanyl,24,22.6,22.45692743654055,0.14307256345945163,0.14307256345945163
ortho-Methyl acrylfentanyl,25,17.0,15.512974002456282,1.487025997543718,1.487025997543718
4-Methoxybutyrfentanyl,26,21.8,20.511998682987127,1.2880013170128741,1.2880013170128741
Despropionyl ortho-methyl fentanyl,27,16.5,16.360352521690974,0.13964747830902624,0.13964747830902624
Acetyl-α-methylfentanyl,28,11.4,12.733236524150115,-1.3332365241501147,1.3332365241501147
Butyryl-F-fentanyl N-benzyl analog,29,17.8,17.269033828523575,0.5309661714764253,0.5309661714764253
β-Hydroxyfentanyl,30,11.4,10.241735093402077,1.158264906597923,1.158264906597923
2-Methylfuranyl fentanyl,31,20.0,20.75325592997052,-0.7532559299705213,0.7532559299705213
Despropionyl-2-fluorofentanyl,32,14.0,13.789889672664446,0.21011032733555446,0.21011032733555446
2-Fluoro butyrfentanyl,33,21.1,20.222369835877004,0.8776301641229978,0.8776301641229978
ortho-Methyl methoxyacetyl fentanyl,34,11.9,14.102441660571044,-2.2024416605710435,2.2024416605710435
Benzylfuranyl fentanyl,35,15.0,15.342349689972238,-0.342349689972238,0.342349689972238
Cyclopentyl fentanyl,36,24.2,22.117045949310864,2.0829540506891355,2.0829540506891355
Benzoylbenzyl fentanyl,37,19.3,18.750385798297863,0.5496142017021377,0.5496142017021377
meta-Methyl acetylfentanyl,38,13.8,12.811777715137076,0.9882222848629247,0.9882222848629247
