perm_idx,seed_perm,null_r2
0,42,-0.046583351502818116
1,43,-0.04805223694752521
2,44,-0.028084700863182453
3,45,0.08110917550167644
4,46,-0.024716432982299853
5,47,-0.03413956567845311
6,48,-0.03156691340194466
7,49,-0.046662628308369244
8,50,-0.09217738767836685
9,51,-0.02361263569816774
10,52,-0.05006831343212807
11,53,0.008728760204837104
12,54,-0.04532015095604236
13,55,-0.01661357335624396
14,56,-0.055344189137654376
15,57,-0.06895516657209692
16,58,-0.07073169371429314
17,59,-0.01980129811126985
18,60,-0.06760246231710021
19,61,0.017064654428361515
20,62,-0.1497127176962087
21,63,-0.0478610160325601
22,64,-0.029898475137607405
23,65,-0.029393285103836007
24,66,-0.027689979417960985
25,67,0.04111163724256979
26,68,-0.020661492640207245
27,69,-0.04991225883273061
28,70,-0.04909909191324384
29,71,0.013105206032204076
30,72,-0.028046316391822267
31,73,-0.005331018958770672
32,74,-0.024338115958429652
33,75,-0.07186103133661403
34,76,-0.024637076140359038
35,77,-0.08945734145812148
36,78,-0.08343019193418928
37,79,-0.026435489941336508
38,80,-0.0250334577297475
39,81,-0.034803007673266675
40,82,-0.03731862347675994
41,83,-0.04593921624270085
42,84,-0.010529574548219966
43,85,-0.03267633940380277
44,86,-0.05293969265306538
45,87,-0.09335641561831473
46,88,-0.04024796057296496
47,89,-0.03244573116316787
48,90,-0.019740948405258606
49,91,-0.026525710677202996
50,92,-0.021449113571267144
51,93,-0.005919875546337927
52,94,-0.051496117733340396
53,95,-0.053197533402026154
54,96,0.021095025759879517
55,97,-0.03715051696130607
56,98,-0.009205823841543915
57,99,-0.04776504337653868
58,100,-0.03236624444678564
59,101,-0.060697397796957486
60,102,-0.021685099572727906
61,103,-0.055020436577410535
62,104,-0.03513519575037825
63,105,-0.06643953970556656
64,106,-0.030294509070614085
65,107,-0.020167012388098638
66,108,-0.04202626425252263
67,109,-0.03359822268780185
68,110,-0.035968405660651605
69,111,-0.024338150590673967
70,112,-0.04367171092395927
71,113,-0.02147455404759132
72,114,-0.04552185236986248
73,115,-0.061782928599720364
74,116,-0.03566250328350329
75,117,-0.09486710017548769
76,118,-0.03235350850426155
77,119,-0.030929585639577328
78,120,-0.027718900048022622
79,121,-0.032949722775302594
80,122,-0.031021871925094313
81,123,-0.028959660115963938
82,124,-0.01453316745274813
83,125,-0.04842966926328864
84,126,-0.015525224804636329
85,127,-0.030557214792459354
86,128,-0.03670984020288111
87,129,-0.028672719811896185
88,130,-0.04470342638069404
89,131,-0.02866028839110706
90,132,-0.054455686851260454
91,133,-0.049052093911959485
92,134,-0.023048213959157616
93,135,-0.025379750291513938
94,136,0.024943023784638963
95,137,-0.04589150467942784
96,138,-0.01804497755392829
97,139,-0.03607763700823856
98,140,-0.06759915938124811
99,141,-0.04104053453424976
